#{"t_start": 1676323915.8721862, "env_id": "NetworkManagement-v1"}
r,l,t
-1625.045,100,0.613941
-1688.821,100,1.240209
-1614.098,100,1.866901
-1666.294,100,2.50593
-1635.737,100,3.141629
-1632.801,100,3.778806
-1657.681,100,4.403359
-1680.811,100,5.055121
-1615.202,100,5.671927
-1622.832,100,6.294125
-1677.223,100,6.902234
-1677.759,100,7.504601
-1642.651,100,8.128205
-1670.469,100,8.745899
-1668.942,100,9.350731
-1673.282,100,9.974475
-1591.745,100,10.56723
-1649.928,100,11.156893
-1676.309,100,11.752399
-1665.621,100,12.354322
-1633.945,100,12.958811
-1616.682,100,13.566417
-1643.532,100,14.162192
-1594.984,100,14.757489
-1640.333,100,15.349798
-1593.244,100,15.940522
-1568.068,100,16.531996
-1546.372,100,17.125498
-1533.828,100,17.715185
-1566.728,100,18.310094
-1583.832,100,18.898993
-1570.478,100,19.489866
-1494.149,100,20.081665
-1521.475,100,20.672475
-1514.058,100,21.264846
-1557.97,100,21.855795
-1587.532,100,22.444215
-1571.972,100,23.034621
-1455.877,100,23.625684
-1543.186,100,24.216667
-1535.722,100,24.808047
-1533.713,100,25.397343
-1439.342,100,25.986979
-1508.975,100,26.581283
-1509.332,100,27.172892
-1551.066,100,27.762789
-1558.089,100,28.354531
-1611.529,100,28.943506
-1538.148,100,29.538007
-1545.252,100,30.127861
-1523.706,100,30.697767
-1530.096,100,31.266987
-1521.816,100,31.839142
-1526.806,100,32.413493
-1515.656,100,32.985901
-1486.272,100,33.596237
-1542.516,100,34.185765
-1498.494,100,34.784467
-1457.4,100,35.374387
-1464.865,100,35.966272
-1470.189,100,36.555078
-1530.398,100,37.146535
-1432.947,100,37.737475
-1494.505,100,38.328822
-1514.777,100,38.920532
-1478.936,100,39.510581
-1531.07,100,40.102366
-1535.543,100,40.694126
-1479.918,100,41.284261
-1483.34,100,41.874312
-1548.65,100,42.464943
-1578.557,100,43.05529
-1504.323,100,43.645881
-1533.845,100,44.237228
-1517.443,100,44.827219
-1480.862,100,45.418746
-1489.857,100,46.009649
-1483.125,100,46.600098
-1452.49,100,47.189417
-1475.785,100,47.778977
-1512.846,100,48.370451
-1513.734,100,48.961695
-1461.876,100,49.550724
-1504.786,100,50.140562
-1489.809,100,50.730947
-1521.978,100,51.318716
-1531.289,100,51.907869
-1573.877,100,52.499583
-1580.202,100,53.091335
-1497.331,100,53.681042
-1550.615,100,54.268318
-1524.538,100,54.859429
-1611.671,100,55.448772
-1519.992,100,56.037633
-1467.353,100,56.627739
-1559.291,100,57.215976
-1552.529,100,57.80549
-1518.505,100,58.395395
-1606.523,100,58.983663
-1481.182,100,59.570264
-1553.37,100,60.161709
-1488.816,100,60.749935
-1452.997,100,61.334454
-1521.092,100,61.925401
-1497.097,100,62.514221
-1521.322,100,63.086636
-1516.612,100,63.656259
-1527.952,100,64.225884
-1519.482,100,64.798741
-1520.922,100,65.369084
-1502.245,100,65.974748
-1478.927,100,66.563062
-1556.955,100,67.159796
-1510.071,100,67.748259
-1490.716,100,68.338345
-1427.405,100,68.928768
-1441.352,100,69.521684
-1481.276,100,70.110643
-1421.01,100,70.699956
-1452.882,100,71.28979
-1370.307,100,71.880365
-1469.91,100,72.469054
-1410.247,100,73.060246
-1480.771,100,73.647054
-1411.595,100,74.236002
-1429.084,100,74.825492
-1385.412,100,75.41377
-1385.455,100,76.003951
-1365.817,100,76.591036
-1348.138,100,77.178949
-1383.17,100,77.767119
-1422.005,100,78.358436
-1407.808,100,78.945783
-1376.783,100,79.535254
-1388.613,100,80.121447
-1418.278,100,80.710215
-1365.351,100,81.297721
-1459.63,100,81.886355
